width,quality,repeat,frame_idx,payload_bytes,ok,client_e2e_ms,recv_ms,modal_ms,total_ms,network_ms,num_boxes,error
160,0.85,0,30,5545,True,246.1,1,244,244,2.1,0,
160,0.85,0,31,5242,True,252.5,1,251,251,1.5,0,
160,0.85,0,32,5530,True,240.6,1,239,239,1.6,0,
160,0.85,0,33,5091,True,249.6,1,248,248,1.6,1,
160,0.85,0,34,5085,True,245.2,1,243,243,2.2,1,
160,0.85,0,35,4948,True,247.0,1,245,245,2.0,1,
160,0.85,0,36,5002,True,242.2,1,240,240,2.2,1,
160,0.85,0,37,4863,True,241.3,1,239,239,2.3,1,
160,0.85,0,38,4849,True,242.1,1,240,240,2.1,1,
160,0.85,0,39,4841,True,315.3,1,313,313,2.3,1,
160,0.85,0,40,4724,True,248.6,1,247,247,1.6,1,
160,0.85,0,41,4960,True,243.0,1,241,241,2.0,1,
160,0.85,0,42,4943,True,331.4,1,329,329,2.4,1,
160,0.85,0,43,4936,True,246.0,1,244,244,2.0,1,
160,0.85,0,44,4859,True,249.0,1,247,247,2.0,1,
160,0.85,0,45,5002,True,246.1,1,244,244,2.1,1,
160,0.85,0,46,4862,True,247.1,1,245,245,2.1,1,
160,0.85,0,47,4937,True,240.8,1,239,239,1.8,0,
160,0.85,0,48,4958,True,241.9,1,240,240,1.9,2,
160,0.85,0,49,5017,True,241.2,1,239,239,2.2,0,
160,0.85,0,50,5129,True,253.5,1,251,251,2.5,0,
160,0.85,0,51,5232,True,275.9,1,274,274,1.9,0,
160,0.85,0,52,5423,True,247.0,2,244,244,3.0,0,
160,0.85,0,53,4952,True,251.1,2,249,249,2.1,0,
160,0.85,0,54,4780,True,248.7,2,246,246,2.7,0,
160,0.85,0,55,5607,True,246.8,2,244,244,2.8,0,
160,0.85,0,56,5882,True,265.8,2,263,263,2.8,0,
160,0.85,0,57,5929,True,249.6,1,248,248,1.6,0,
160,0.85,0,58,6212,True,280.0,1,278,278,2.0,1,
160,0.85,0,59,5967,True,241.5,1,239,239,2.5,0,
160,0.85,0,60,6350,True,253.9,1,252,252,1.9,0,
160,0.85,0,61,6188,True,239.4,1,237,237,2.4,0,
160,0.85,0,62,5633,True,247.1,1,245,245,2.1,0,
160,0.85,0,63,5365,True,243.4,1,241,241,2.4,0,
160,0.85,0,64,5445,True,250.4,1,248,248,2.4,0,
224,0.6,0,5,4514,True,369.6,2,368,368,1.6,0,
224,0.6,0,6,4793,True,252.5,1,250,250,2.5,0,
224,0.6,0,7,5342,True,241.3,1,239,239,2.3,0,
224,0.6,0,8,5425,True,242.0,1,240,240,2.0,0,
224,0.6,0,9,5124,True,244.7,2,243,243,1.7,0,
224,0.6,0,10,5514,True,244.1,1,242,242,2.1,0,
224,0.6,0,11,5694,True,249.6,1,248,248,1.6,0,
224,0.6,0,12,5110,True,243.8,1,242,242,1.8,0,
224,0.6,0,13,5501,True,243.4,1,242,242,1.4,0,
224,0.6,0,14,5293,True,263.9,1,262,262,1.9,0,
224,0.6,0,15,5550,True,256.6,1,255,255,1.6,0,
224,0.6,0,16,5624,True,262.1,1,260,260,2.1,0,
224,0.6,0,17,5044,True,253.3,2,251,251,2.3,0,
224,0.6,0,18,5514,True,262.5,1,261,261,1.5,0,
224,0.6,0,19,5140,True,246.3,1,244,244,2.3,0,
224,0.6,0,20,5555,True,298.9,1,297,297,1.9,0,
224,0.6,0,21,5356,True,276.0,1,274,274,2.0,0,
224,0.6,0,22,5115,True,240.4,1,239,239,1.4,0,
224,0.6,0,23,5502,True,248.8,1,247,247,1.8,0,
224,0.6,0,24,5147,True,310.3,1,309,309,1.3,0,
224,0.6,0,25,5485,True,244.4,1,243,243,1.4,0,
224,0.6,0,26,5421,True,254.7,1,253,253,1.7,0,
224,0.6,0,27,5032,True,238.9,1,237,237,1.9,0,
224,0.6,0,28,5314,True,246.1,1,244,244,2.1,0,
224,0.6,0,29,4950,True,255.1,1,253,253,2.1,0,
224,0.6,0,30,5080,True,237.3,2,235,235,2.3,0,
224,0.6,0,31,4759,True,245.8,1,244,244,1.8,0,
224,0.6,0,32,5370,True,265.2,1,263,263,2.2,0,
224,0.6,0,33,4545,True,240.4,1,239,239,1.4,1,
224,0.6,0,34,4511,True,257.5,2,255,255,2.5,1,
224,0.6,0,35,4344,True,242.5,1,240,241,1.5,1,
224,0.6,0,36,4367,True,256.9,1,255,255,1.9,1,
224,0.6,0,37,4187,True,240.6,1,239,239,1.6,1,
224,0.6,0,38,4282,True,254.4,1,253,253,1.4,1,
224,0.6,0,39,4293,True,256.3,1,254,254,2.3,1,
224,0.6,0,40,4194,True,245.6,1,244,244,1.6,1,
224,0.6,0,41,4396,True,264.8,1,263,263,1.8,1,
224,0.6,0,42,4268,True,245.0,1,243,243,2.0,1,
224,0.6,0,43,4259,True,241.6,1,240,240,1.6,2,
224,0.6,0,44,4281,True,249.8,1,248,248,1.8,1,
224,0.6,0,45,4376,True,244.2,1,242,242,2.2,0,
224,0.6,0,46,4302,True,241.9,2,240,240,1.9,1,
224,0.6,0,47,4411,True,244.9,1,243,243,1.9,2,
224,0.6,0,48,4400,True,241.5,1,239,239,2.5,1,
224,0.6,0,49,4499,True,244.8,2,242,242,2.8,0,
224,0.6,0,50,4630,True,251.9,1,250,250,1.9,0,
224,0.6,0,51,4746,True,264.4,1,262,262,2.4,0,
224,0.6,0,52,5053,True,260.1,1,258,258,2.1,0,
224,0.6,0,53,4452,True,265.9,1,264,264,1.9,0,
224,0.6,0,54,4329,True,240.5,1,239,239,1.5,0,
224,0.6,0,55,5419,True,254.9,1,253,253,1.9,0,
224,0.6,0,56,5297,True,260.1,1,258,258,2.1,0,
224,0.6,0,57,5270,True,263.0,1,261,261,2.0,0,
224,0.6,0,58,5697,True,250.3,1,248,248,2.3,0,
224,0.6,0,59,5331,True,248.6,1,247,247,1.6,0,
224,0.6,0,60,5836,True,241.4,2,239,239,2.4,0,
224,0.6,0,61,5623,True,244.7,1,243,243,1.7,0,
224,0.6,0,62,5167,True,249.0,1,247,247,2.0,0,
224,0.6,0,63,4846,True,244.9,2,243,243,1.9,0,
224,0.6,0,64,4957,True,252.0,1,250,250,2.0,0,
224,0.85,0,5,8074,True,251.4,3,249,249,2.4,0,
224,0.85,0,6,8725,True,249.8,1,248,248,1.8,0,
224,0.85,0,7,9368,True,246.9,1,245,245,1.9,0,
224,0.85,0,8,9872,True,279.0,2,276,276,3.0,0,
224,0.85,0,9,9406,True,243.4,2,241,241,2.4,0,
224,0.85,0,10,9929,True,243.1,2,241,241,2.1,0,
224,0.85,0,11,10189,True,253.7,1,251,251,2.7,0,
224,0.85,0,12,9266,True,250.1,3,247,247,3.1,0,
224,0.85,0,13,9911,True,243.1,3,240,240,3.1,0,
224,0.85,0,14,9496,True,260.4,2,258,258,2.4,0,
224,0.85,0,15,10096,True,270.5,3,267,267,3.5,0,
224,0.85,0,16,10148,True,255.4,3,252,252,3.4,0,
